
code	|	name	|	preferred name	|	taxid
1	|	Rhodelphis marinus	|	 	|	2584957
1	|	Cyanophora paradoxa	|	 	|	2762
3	|	Colponemidia sp Colp-10	|	 	|	 
3	|	Colponemidia sp Colp-15	|	 	|	 
1	|	Colponema vietnamica	|	 	|	1492817
1	|	Cafeteria burkhardae	|	 	|	2604071
1	|	Rhynchopus humris	|	 	|	2016123
1	|	Sulcionema specki	|	 	|	2016126
1	|	Hemistasia phaeocysticola	|	 	|	1503927
1	|	Pharyngomonas kirbyi	|	 	|	63601
1	|	Andalucia godoyi	|	 	|	505711
1	|	Dysnectes brevis	|	 	|	391066
1	|	Monocercomonoides exilis	|	 	|	2049356
1	|	Trimastix marina	|	 	|	137419
3	|	Barthelona sp PAP020	|	 	|	 
1	|	Prasinoderma coloniale	|	 	|	156133
1	|	Paulinella micropora	|	 	|	1928728
3	|	Percolomonas sp WS	|	 	|	 
1	|	Chromera velia	|	 	|	505693
1	|	Brevimastigomonas motovehiculus	|	 	|	1885055
1	|	Gracilariopsis chorda	|	 	|	448386
1	|	Klebsormidium nitens	|	 	|	105231
3	|	MAST-03A sp MAST-3A-sp1	|	 	|	 
3	|	MAST-04A sp MAST-4A-sp1	|	 	|	 
3	|	MAST-04C sp MAST-4C-sp1	|	 	|	 
1	|	Prasinococcus capsulatus	|	 	|	156131
1	|	Cryptosporidium parvum	|	 	|	5807
1	|	Entosiphon sulcatum	|	 	|	101493
1	|	Stygiella incarcerata	|	 	|	1712417
1	|	Neovahlkampfia damariscottae	|	 	|	166956
1	|	Thalassiosira pseudonana	|	 	|	35128
1	|	Nonionella stella	|	 	|	191124
1	|	Lenisia limosa	|	 	|	1653305
1	|	Arcella intermedia	|	 	|	1963864
1	|	Amoeba proteus	|	 	|	5775
1	|	Creolimax fragrantissima	|	 	|	470921
1	|	Halocafeteria seosinensis	|	 	|	357350
1	|	Carpediemonas membranifera	|	 	|	201153
1	|	Anaeramoeba flamelloides	|	 	|	1746091
1	|	Anaeramoeba ignava	|	 	|	1746090
